epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.51393,0.57227,0.72414,1,0.58123,1.428e-05,1.428e-05,1.428e-05
2,7.07575,0.56101,0.62069,1,0.60975,3.39329e-05,3.39329e-05,3.39329e-05
3,8.34536,0.54393,0.68966,1,0.63215,5.14651e-05,5.14651e-05,5.14651e-05
4,9.62404,0.53845,0.58621,1,0.67913,6.68768e-05,6.68768e-05,6.68768e-05
5,10.9285,0.51578,0.58621,1,0.7655,8.01679e-05,8.01679e-05,8.01679e-05
6,12.2005,0.50394,0.62069,1,0.81482,9.13384e-05,9.13384e-05,9.13384e-05
7,13.5014,0.40609,0.62069,1,0.88163,0.000100388,0.000100388,0.000100388
8,14.7393,0.50005,0.62069,1,0.89892,0.000107318,0.000107318,0.000107318
9,16.0023,0.42516,0.58621,1,0.89585,0.000112127,0.000112127,0.000112127
10,17.2625,0.39578,0.58621,1,0.91285,0.000114815,0.000114815,0.000114815
11,18.5669,0.41316,0.58621,1,0.92848,0.000115382,0.000115382,0.000115382
12,19.7876,0.33957,0.58621,1,0.93297,0.000113829,0.000113829,0.000113829
13,21.1167,0.31926,0.58621,1,0.91922,0.000110156,0.000110156,0.000110156
14,22.3618,0.31106,0.55172,1,0.94208,0.000104362,0.000104362,0.000104362
15,23.6076,0.34245,0.55172,1,0.95692,9.64471e-05,9.64471e-05,9.64471e-05
16,24.8363,0.28494,0.58621,1,0.96448,8.64119e-05,8.64119e-05,8.64119e-05
17,26.0901,0.32322,0.62069,1,0.95939,7.4256e-05,7.4256e-05,7.4256e-05
18,27.3256,0.24666,0.62069,1,0.95357,5.99796e-05,5.99796e-05,5.99796e-05
19,28.548,0.25435,0.55172,1,0.97069,4.35826e-05,4.35826e-05,4.35826e-05
20,29.7937,0.32295,0.58621,1,1.00546,2.5065e-05,2.5065e-05,2.5065e-05
